category,brand_id,master_id,human_id,rating,ranking
Cinnamon Rolls,49,7,7,3,3
Cinnamon Rolls,49,7,9,4,3
Cinnamon Rolls,49,7,5,3.5,3
Orange Juice,51,3,3,3,3
Orange Juice,52,3,2,4.5,3
Orange Juice,52,3,8,3.5,3
Orange Juice,55,3,6,2.5,3
Orange Juice,56,3,7,3.5,3
Orange Juice,56,3,4,2.5,3
Orange Juice,57,3,1,3,3
Orange Juice,57,3,9,3,3
Orange Juice,57,3,5,3,3
Lager,59,1,7,0.5,3
Lager,59,1,8,2.5,3
Lager,60,1,9,2,3
Lager,62,1,3,2.5,3
Lager,63,1,5,2,3
Lager,64,1,1,3,3
Lager,64,1,2,3,3
Lager,65,1,6,2.5,3
chocolate,1,5,7,2,4
chocolate,2,5,1,3,4
chocolate,3,5,3,3.5,4
chocolate,4,5,6,3.5,4
chocolate,4,5,5,3.5,4
chocolate,6,5,4,2.5,4
chocolate,6,5,2,3,4
chocolate,6,5,9,1.5,4
chocolate,6,5,8,2.5,4
Peanut Butter,8,8,4,2.5,4
Peanut Butter,8,8,2,4,4
Peanut Butter,9,8,3,3,4
Peanut Butter,9,8,1,3.5,4
Peanut Butter,10,8,7,2.5,4
Peanut Butter,10,8,6,3,4
Peanut Butter,10,8,9,2,4
Peanut Butter,10,8,8,3,4
Peanut Butter,10,8,5,3.5,4
Ice Cream,14,2,4,3.5,4
Ice Cream,17,2,7,4,4
Ice Cream,17,2,6,4.5,4
Ice Cream,17,2,9,2,4
Ice Cream,18,2,8,3.5,4
Ice Cream,19,2,2,3,4
Cream Soda,22,4,1,2,4
Cream Soda,22,4,2,4,4
Cream Soda,23,4,4,2,4
Cream Soda,23,4,9,3,4
Cream Soda,25,4,3,3,4
Cream Soda,25,4,5,3,4
Cream Soda,26,4,7,1,4
Cream Soda,26,4,6,2.5,4
Cream Soda,26,4,8,3,4
Root Beer,28,6,3,2.5,4
Ice Cream,32,2,3,3.5,4
Ice Cream,32,2,1,3,4
Ice Cream,32,2,5,3,4
Root Beer,33,6,1,2,4
Root Beer,33,6,5,2.5,4
Root Beer,35,6,7,3,4
Root Beer,35,6,6,3.5,4
Root Beer,35,6,4,2.5,4
Root Beer,35,6,2,2,4
Root Beer,35,6,9,2,4
Root Beer,35,6,8,2.5,4
Brownies,37,9,8,1,4
Brownies,38,9,7,2,4
Brownies,38,9,1,3.5,4
Brownies,39,9,3,1.5,4
Brownies,39,9,5,2.5,4
Brownies,40,9,6,2,4
Brownies,40,9,2,3,4
Brownies,40,9,9,2.5,4
Brownies,41,9,4,2,4
Cinnamon Rolls,42,7,6,3.5,4
Cinnamon Rolls,42,7,2,2.5,4
Cinnamon Rolls,42,7,9,3,4
Cinnamon Rolls,42,7,8,3,4
Cinnamon Rolls,45,7,4,2.5,4
Cinnamon Rolls,45,7,1,2.5,4
Cinnamon Rolls,45,7,5,5,4
Cinnamon Rolls,46,7,3,3,4
Cinnamon Rolls,47,7,7,3,4
Orange Juice,50,3,9,2.5,4
Orange Juice,50,3,5,1.5,4
Orange Juice,52,3,6,2,4
Orange Juice,52,3,4,1.5,4
Orange Juice,54,3,1,3,4
Orange Juice,55,3,7,2,4
Orange Juice,55,3,2,3,4
Orange Juice,57,3,3,3,4
Orange Juice,57,3,8,3,4
Lager,58,1,6,2,4
Lager,60,1,7,1,4
Lager,61,1,1,3,4
Lager,62,1,2,2.5,4
Lager,62,1,9,2,4
Lager,62,1,8,2,4
Lager,62,1,5,2,4
Lager,63,1,3,2,4
chocolate,1,5,6,2,5
chocolate,1,5,5,3,5
chocolate,3,5,4,2.5,5
chocolate,4,5,3,2.5,5
chocolate,4,5,1,2.5,5
chocolate,4,5,2,2,5
chocolate,4,5,9,2,5
chocolate,4,5,8,2.5,5
chocolate,5,5,7,1.5,5
Peanut Butter,8,8,7,2.5,5
Peanut Butter,8,8,3,3,5
Peanut Butter,8,8,9,3,5
Peanut Butter,8,8,5,2.5,5
Peanut Butter,9,8,6,3,5
Peanut Butter,9,8,2,3.5,5
Peanut Butter,10,8,1,3,5
Peanut Butter,12,8,4,2,5
Peanut Butter,13,8,8,2.5,5
Ice Cream,15,2,3,3,5
Ice Cream,16,2,9,2.5,5
Ice Cream,17,2,4,2.5,5
Ice Cream,17,2,5,3,5
Ice Cream,18,2,1,3,5
Cream Soda,23,4,6,2,5
Cream Soda,23,4,2,4,5
Cream Soda,24,4,7,0.5,5
Cream Soda,25,4,4,2,5
Cream Soda,25,4,1,2,5
Cream Soda,25,4,8,2.5,5
Cream Soda,26,4,3,2,5
Cream Soda,26,4,9,2.5,5
Cream Soda,27,4,5,2.5,5
Root Beer,28,6,6,1.5,5
Root Beer,29,6,2,1.5,5
Root Beer,30,6,1,2,5
Ice Cream,32,2,7,3.5,5
Ice Cream,32,2,6,4,5
Ice Cream,32,2,2,2.5,5
Ice Cream,32,2,8,3,5
Root Beer,33,6,4,2,5
Root Beer,33,6,9,1,5
Root Beer,33,6,8,2.5,5
Root Beer,34,6,7,1.5,5
Root Beer,34,6,5,2,5
Root Beer,35,6,3,2,5
Brownies,36,9,1,3.5,5
Brownies,37,9,3,1.5,5
Brownies,37,9,9,2.5,5
Brownies,37,9,5,2,5
Brownies,39,9,4,2,5
Brownies,39,9,8,1,5
Brownies,41,9,7,1,5
Brownies,41,9,6,2,5
Brownies,41,9,2,3,5
Cinnamon Rolls,42,7,1,2,5
Cinnamon Rolls,43,7,7,1.5,5
Cinnamon Rolls,43,7,4,2,5
Cinnamon Rolls,44,7,8,2,5
Cinnamon Rolls,45,7,3,2.5,5
Cinnamon Rolls,46,7,6,2.5,5
Cinnamon Rolls,46,7,2,2,5
Cinnamon Rolls,46,7,9,2,5
Cinnamon Rolls,46,7,5,2.5,5
Orange Juice,50,3,6,1.5,5
Orange Juice,50,3,2,1,5
Orange Juice,51,3,7,1.5,5
Orange Juice,52,3,1,2.5,5
Orange Juice,53,3,8,1.5,5
Orange Juice,54,3,4,1,5
Orange Juice,55,3,3,2,5
Orange Juice,55,3,9,1,5
Orange Juice,55,3,5,1,5
Lager,59,1,1,2,5
Lager,59,1,2,2,5
Lager,62,1,6,2,5
Lager,63,1,7,0.5,5
Lager,63,1,9,1.5,5
Lager,63,1,8,2,5
Lager,64,1,5,2,5
Lager,65,1,3,2,5
chocolate,1,5,4,2,6
chocolate,1,5,1,2.5,6
chocolate,2,5,5,3,6
chocolate,3,5,6,2,6
chocolate,5,5,9,1,6
chocolate,7,5,7,1.5,6
chocolate,7,5,3,2,6
chocolate,7,5,2,2,6
chocolate,7,5,8,1.5,6
Peanut Butter,8,8,1,2.5,6
Peanut Butter,8,8,8,2,6
Peanut Butter,13,8,7,1,6
Peanut Butter,13,8,6,0.5,6
Peanut Butter,13,8,3,1,6
Peanut Butter,13,8,4,1,6
Peanut Butter,13,8,2,1,6
Peanut Butter,13,8,5,1.5,6
Ice Cream,15,2,4,2.5,6
Ice Cream,15,2,5,2.5,6
Ice Cream,16,2,2,2,6
Ice Cream,17,2,1,2.5,6
Ice Cream,18,2,7,3.5,6
Ice Cream,18,2,6,4,6
Ice Cream,19,2,3,3,6
Ice Cream,19,2,9,1.5,6
Ice Cream,21,2,8,3,6
Cream Soda,22,4,4,1.5,6
Cream Soda,22,4,9,2,6
Cream Soda,23,4,1,1,6
Cream Soda,23,4,8,0.5,6
Cream Soda,25,4,7,0,6
Cream Soda,25,4,6,0.5,6
Cream Soda,26,4,2,3,6
Cream Soda,26,4,5,2.5,6
Cream Soda,27,4,3,2,6
Root Beer,28,6,8,2,6
Root Beer,29,6,4,2,6
Root Beer,30,6,7,1,6
Root Beer,31,6,1,1,6
Root Beer,33,6,6,1,6
Root Beer,33,6,2,0.5,6
Root Beer,34,6,3,2,6
Root Beer,34,6,9,1,6
Root Beer,35,6,5,1.5,6
Brownies,37,9,7,1,6
Brownies,37,9,6,1.5,6
Brownies,37,9,1,1.5,6
Brownies,38,9,2,2.5,6
Brownies,38,9,9,2.5,6
Brownies,40,9,4,1.5,6
Brownies,41,9,3,1,6
Brownies,41,9,8,0.5,6
Brownies,41,9,5,1.5,6
Cinnamon Rolls,43,7,9,0.5,6
Cinnamon Rolls,44,7,6,1.5,6
Cinnamon Rolls,44,7,3,1.5,6
Cinnamon Rolls,44,7,4,2,6
Cinnamon Rolls,44,7,2,1.5,6
Cinnamon Rolls,44,7,5,2,6
Cinnamon Rolls,45,7,7,1,6
Cinnamon Rolls,46,7,8,1,6
Cinnamon Rolls,49,7,1,1,6
Orange Juice,50,3,7,1,6
Orange Juice,50,3,4,1,6
Orange Juice,50,3,8,1.5,6
Orange Juice,51,3,6,1,6
Orange Juice,51,3,5,2,6
Orange Juice,53,3,2,0.5,6
Orange Juice,53,3,9,0,6
Orange Juice,56,3,1,1.5,6
Lager,58,1,9,0.5,6
Lager,59,1,3,1.5,6
Lager,59,1,5,1.5,6
Lager,60,1,8,1,6
Lager,62,1,7,0.5,6
Lager,62,1,1,2,6
Lager,63,1,6,0.5,6
Lager,63,1,2,1,6
chocolate,3,5,7,1.5,7
chocolate,3,5,1,0,7
chocolate,3,5,2,2,7
chocolate,3,5,9,0.5,7
chocolate,5,5,6,1,7
chocolate,5,5,3,0,7
chocolate,5,5,4,0,7
chocolate,6,5,5,2.5,7
Ice Cream,14,2,1,1.5,7
Ice Cream,14,2,8,2.5,7
Ice Cream,14,2,5,2,7
Ice Cream,15,2,7,2,7
Ice Cream,15,2,6,2.5,7
Ice Cream,15,2,9,0.5,7
Ice Cream,17,2,3,3,7
Ice Cream,17,2,2,2,7
Ice Cream,19,2,4,2,7
Root Beer,28,6,2,0.5,7
Root Beer,29,6,7,1,7
Root Beer,29,6,6,0.5,7
Root Beer,29,6,1,1,7
Root Beer,30,6,9,1,7
Root Beer,31,6,5,1,7
Root Beer,33,6,3,1,7
Root Beer,34,6,4,1.5,7
Root Beer,34,6,8,1,7
Cinnamon Rolls,43,7,6,1,7
Cinnamon Rolls,43,7,3,1,7
Cinnamon Rolls,43,7,1,1,7
Cinnamon Rolls,43,7,2,0.5,7
Cinnamon Rolls,43,7,8,1,7
Cinnamon Rolls,43,7,5,1.5,7
Cinnamon Rolls,45,7,9,1.5,7
Cinnamon Rolls,46,7,4,1.5,7
Cinnamon Rolls,48,7,7,0,7
Orange Juice,50,3,1,1,7
Orange Juice,51,3,4,0.5,7
Orange Juice,51,3,2,0.5,7
Orange Juice,51,3,9,0,7
Orange Juice,51,3,8,1,7
Orange Juice,53,3,7,1,7
Orange Juice,53,3,6,0.5,7
Orange Juice,53,3,3,0.5,7
Orange Juice,54,3,3,1,7
Orange Juice,54,3,5,0,7
Lager,58,1,1,2,7
Lager,60,1,6,0,7
Lager,60,1,2,0.5,7
Lager,60,1,5,0,7
Lager,61,1,3,0.5,7
Lager,61,1,8,0.5,7
Lager,65,1,7,0.5,7
Lager,65,1,9,0.5,7
chocolate,5,5,8,0,8
Ice Cream,14,2,7,1.5,8
Ice Cream,14,2,6,1.5,8
Ice Cream,14,2,3,2.5,8
Ice Cream,14,2,9,3,8
Ice Cream,15,2,1,1.5,8
Ice Cream,15,2,2,1.5,8
Ice Cream,15,2,8,1.5,8
Ice Cream,19,2,5,2,8
Ice Cream,21,2,4,1.75,8
Root Beer,28,6,4,1,8
Root Beer,29,6,3,0.5,8
Root Beer,29,6,9,1,8
Root Beer,29,6,8,1,8
Root Beer,29,6,5,0.5,8
Root Beer,33,6,7,0.5,8
Root Beer,34,6,6,0.5,8
Root Beer,34,6,1,0,8
Root Beer,34,6,2,0.5,8
Cinnamon Rolls,44,7,7,0,8
Cinnamon Rolls,48,7,6,1,8
Cinnamon Rolls,48,7,3,0.5,8
Cinnamon Rolls,48,7,4,0,8
Cinnamon Rolls,48,7,1,0.5,8
Cinnamon Rolls,48,7,2,0,8
Cinnamon Rolls,48,7,9,1,8
Cinnamon Rolls,48,7,8,0.5,8
Cinnamon Rolls,48,7,5,1,8
Orange Juice,53,3,4,0,8
Orange Juice,53,3,1,0,8
Orange Juice,53,3,5,0,8
Orange Juice,54,3,7,0,8
Orange Juice,54,3,6,0,8
Orange Juice,54,3,2,0,8
Orange Juice,54,3,9,0,8
Orange Juice,54,3,8,0,8
Orange Juice,56,3,3,0.5,8
Lager,60,1,3,0.5,8
Lager,61,1,7,0,8
Lager,61,1,6,0,8
Lager,61,1,2,0.5,8
Lager,61,1,9,0.5,8
Lager,61,1,5,0,8
Lager,65,1,1,1,8
Lager,65,1,8,0.5,8
Lager,58,1,4,2.5,4
Lager,59,1,4,2.5,2
Lager,60,1,4,1.5,6
Lager,61,1,4,1,7
Lager,62,1,4,2,5
Lager,63,1,4,0.5,8
Lager,64,1,4,3,1
Lager,65,1,4,2.5,3
